"cluster","T cells","B cells","NK cells","CD14 monocytes","FCGR3A monocytes","Dendritic cells","Platelets"
"0",0.668919033359755,0.0970471970385791,0.0309933316359817,0.0700508124605686,0.0303967923137661,0.00696400469102224,0.00160064685103673
"1",0.789501469289934,0.117966759357034,0.0401338727598485,0.0761981818428039,0.038116062254771,0.00519667435242677,0.00198880531098744
"2",0.071290767097834,0.191577237184566,0.0392520695002819,1,0.320395451067743,0.0529235502525991,0.010822550370859
"3",0.234433791305699,0.992445146099872,0.0206271353129454,0.0632191853219014,0.0701986085879721,0.0535390110483956,0.00368697422754613
"4",0.597551223478639,0.136656322497125,0.393445823506601,0.060768693940011,0.0672819156472999,0.00291312358181788,0.00613705600356432
"5",0.110040220477274,0.284506284929512,0.0493492701933382,0.447935247203269,1,0.00370574914369194,0.0132005123993291
"6",0.164058810578863,0.147688158226817,1,0.0635725122954688,0.22709508627703,0.00960200147466424,0
"7",0.104634233971528,0.27786140163129,0.0499558095570297,0.364231634916322,0.212215054789223,1,0.00929852347408882
"8",0.071886217499813,0.112933580352639,0.0248700076833709,0.100887990427498,0.0704804191434987,0,1
